KEY,English,Korean,French,Portuguese,Spanish,Brazilian Portuguese
0,HOW TO PLAY ?,어떻게 하나요?,COMMENT JOUER ?,INSTRUÇÕES,CÓMO JUGAR ?,INSTRUÇÕES
1,[FFFFBB]TAP[-] ANYWHERE TO CHANGE DIRECTION,아무곳이나 [FFFFBB]탭[-]하여 방향을 바꿀 수 있어요,[FFFFBB]APPUYEZ[-] POUR CHANGER DE DIRECTION,[FFFFBB]TOCA NO ECRÃ[-] PARA MUDAR DE DIREÇÃO,[FFFFBB]PRESIONAR[-] PARA CAMBIAR LA DIRECCIÓN,[FFFFBB]TOQUE NO ECRÃ[-] PARA MUDAR DE DIREÇÃO
2,REPLACE CURRENT BUFF?,기존 효과를 덮어씌울까요?,REPLACE CURRENT BUFF?,REPLACE CURRENT BUFF?,REPLACE CURRENT BUFF?,REPLACE CURRENT BUFF?
3,MISSION,미션,MISSION,MISSÃO,MISIÓN,MISSÃO
4,BEST,최고기록,RECORD,MELHOR,MEJOR,MELHOR
5,SHARE,공유하기,PARTAGER,PARTILHAR,COMPARTIR,PARTILHAR
6,REWARD,보상,RÉCOMPENSE,RECOMPENSA,RECOMPENSA,PRÊMIO
7,,,,,,
8,,,,,,
9,REMAIN,남은 횟수,RESTE,EM FALTA,PERMANECER,EM FALTA
10,,,,,,
11,TAP TO RUSH,탭 하여 시작하기,APPUYEZ POUR COMMENCER,TOCA PARA COMEÇAR,TOQUE PARA INCIO,TOQUE PARA COMEÇAR
12,NEW,NEW,NOUVEAU,NOVO,NUEVO,NOVO
13,ANIMALS,동물,ANIMAUX,ANIMAIS,ANIMALES,ANIMAIS
14,MISSION,미션,MISSION,MISSÃO,MISIÓN,MISSÃO
15,SHOP,상점,BOUTIQUE,LOJA,TIENDA,LOJA
16,RATE,평가 하기,ÉVALUER,AVALIAR,EVALUAR,AVALIAR
17,LIKE US,좋아요,LIKEZ NOUS,GOSTA DE NÓS!,NOS HACE LIKE,GOSTE DE NÓS!
18,FOLLOW US,팔로우,SUIVEZ NOUS,SEGUE-NOS,SÍGUENOS,SIGA-NOS
19,,,,,,
20,,,,,,
21,NEW RECORD !,새로운 기록 !,NOUVEAU RECORD !,NOVO RECORDE !,NUEVO RECORD !,NOVO MÁXIMO !
22,OBTAINED,획득,OBTENU,OBTIDO,OBTENIDO,OBTIDO
23,OKAY,확인,OK,OK,OK,OK
24,NO,아니오,NON,NÃO,NO,NÃO
25,YES,네,OUI,SIM,SÍ,SIM
26,TAKE,받기,PRENDRE,GUARDAR,TOMAR,GUARDAR
27,LEAVE NOW ?,종료 하시겠습니까?,QUITTEZ MAINTENANT ?,SAIR AGORA ?,SALIR AHORA ?,SAIR AGORA ?
28,,,,,,
29,DIAMONDS,다이아몬드,DIAMANTS,DIAMANTES,DIAMANTES,DIAMANTES
30,REMOVE\nADS,광고 제거,RETIRER\nADS,REMOVER\nADS,RETIRE\nADS,REMOVER\nADS
31,MAGNETIC\nPOWER,자석 효과,PUISSANCE\nMAGNETIQUE,PODER\nMAGNÉTICO,ENERGÍA\nMAGNÉTICA,PODER\nMAGNÉTICO
32,DOUBLE\nDIAMONDS,다이아몬드 2배,DOUBLEUR\nDIAMANTS,DOBRO DE\nDIAMANTES,DOBLE\nDIAMANTES,DOBRO DE\nDIAMANTES
33,X2 MISSION\nREWARD,미션 보상 2배,X2 RÉCOMPENSE\nMISSION,X2 BÓNUS\nMISSÕES,X2 MISIÓN\nRECOMPENSA,X2 BÓNUS\nMISSÕES
34,RESTORE PURCHASES,구입 복구,RESTAURER ACHATS,RECUPERAR COMPRAS,RESTAURAR LAS COMPRAS,RECUPERAR COMPRAS
35,PLAY !,시작하기!,JOUER !,JOGAR !,JUEGO !,JOGAR !
36,REACH {0} COMBO,{0} 콤보 달성하기,ATTEIGNEZ {0} COMBO,ATINGE {0} COMBO,LOGRAR {0} COMBO,ATINGE {0} COMBO
37,REACH {0} SCORE,{0} 점 달성하기,ATTEIGNEZ LE SCORE DE {0},ATINGE {0} PONTOS,LOGRAR {0} PUNTOS,ATINGE {0} PONTOS
38,CRASH INTO OBSTACLE {0} TIMES,장해물에 {0} 번 부딪히기,CRASH DANS {0} OBSTACLES,BATER EM OBSTÁCULO {0} VEZES,CRASH EN OBSTÁCULOS {0} VECES,BATER EM OBSTÁCULO {0} VEZES
39,,,,,,
40,OMG! I scored (x) points in Animal Rush! Can you beat my score?,와우! Animal Rush에서 (x)점을 기록했어요! 나보다 잘하는 사람?,OMG! J'ai fait (x) points dans Animal Rush! Peux-tu battre mon score?,OMG! Fiz (x) pontos no Animal Rush! Consegues fazer melhor?,DIOS MIO! Marqué (x) puntos en Animal Rush! ¿Se puede vencer mi puntuación?,OMG! Consegui (x) pontos no Animal Rush! Você consegue fazer melhor?
41,OMG! I got (x) in Animal Rush!,오예! Animal Rush에서 (x)를 얻었어요! 신난다!,OMG ! Je suis arrivé (x) dans Animal Rush!,OMG! Ganhei (x) no Animal Rush!,DIOS MIO! Tengo (x) en Animal Rush!,OMG! Ganhei (x) no Animal Rush!
42,ANIMAL,ANIMAL,ANIMAUX,ANIMAL,ANIMAL,ANIMAL
43,UNLOCKED,UNLOCKED,DÉBLOQUÉS,DESBLOQUEADOS,DESBLOQUEADOS,DESBLOQUEADOS